PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,0,0,-1.85,1.03,-4.81,0,0,0,0
2,0,0,-1.85,1.81,-4.84,0,0,0,0
3,0,0,-2.07,2.63,-4.87,0,0,0,0
4,0,0,-2.28,3.49,-4.89,0,0,0,0
5,0,0,-2.24,4.37,-4.92,0,0,0,0
6,0,0,-2.08,5.29,-4.94,0,0,0,0
7,0,0,-1.80,6.23,-4.96,0,0,0,0
8,0,0,-1.74,7.21,-4.99,0,0,0,0
9,0,0,-1.76,8.20,-5.01,0,0,0,0
10,0,0,-1.93,9.22,-5.03,0,0,0,0
11,0,0,-1.86,10.26,-5.05,0,0,0,0
12,0,0,-1.78,11.33,-5.06,0,0,0,0
13,0,0,-1.59,12.41,-5.08,0,0,0,0
14,0,0,-1.63,13.51,-5.10,0,0,0,0
15,0,0,-1.60,14.62,-5.11,0,0,0,0
16,0,0,-0.40,15.74,-5.13,0,0,0,0
17,0,0,0.00,16.88,-5.14,0,0,0,0
18,0,0,-0.29,18.03,-5.16,0,0,0,0
19,0,0,-1.44,19.19,-5.17,0,0,0,0
20,0,0,-1.62,20.35,-5.18,0,0,0,0
21,0,0,-1.22,21.52,-5.19,0,0,0,0
22,0,0,-1.52,22.69,-5.21,0,0,0,0
23,0,0,-1.39,23.86,-5.22,0,0,0,0
24,0,0,-0.06,25.04,-5.23,0,0,0,0
25,0,0,-1.12,26.21,-5.24,0,0,0,0
26,0,0,-1.14,27.38,-5.24,0,0,0,0
27,0,0,-1.47,28.54,-5.25,0,0,0,0
28,0,0,-1.46,29.70,-5.26,0,0,0,0
29,0,0,-0.38,30.85,-5.27,0,0,0,0
30,0,0,-0.40,31.98,-5.28,0,0,0,0
31,0,0,-0.92,33.11,-5.28,0,0,0,0
32,0,0,-1.00,34.22,-5.29,0,0,0,0
33,0,0,-1.54,35.32,-5.30,0,0,0,0
34,0,0,-1.32,36.40,-5.31,0,0,0,0
35,0,0,-1.25,37.46,-5.31,0,0,0,0
36,0,0,-1.22,38.51,-5.32,0,0,0,0
37,0,0,-0.82,39.53,-5.32,0,0,0,0
38,0,0,-1.20,40.52,-5.33,0,0,0,0
39,0,0,-1.26,41.49,-5.34,0,0,0,0
